model	image_id	step	true_label	pred	prob_true	margin	loss	linf
clean	A	0	cat	cat	0.9979	6.2783	0.0021	0.00000
clean	A	1	cat	dog	0.0060	-5.1154	5.1217	0.00784
clean	A	2	cat	dog	0.0000	-13.1895	13.1895	0.01569
clean	A	3	cat	dog	0.0000	-18.7804	18.7804	0.02353
clean	A	4	cat	dog	0.0000	-23.1678	23.1678	0.03137
clean	A	5	cat	dog	0.0000	-25.5149	25.5149	0.03137
clean	A	6	cat	dog	0.0000	-27.2450	27.2450	0.03137
clean	A	7	cat	dog	0.0000	-28.0191	28.0191	0.03137
clean	A	8	cat	dog	0.0000	-29.2041	29.2041	0.03137
clean	A	9	cat	dog	0.0000	-29.3451	29.3451	0.03137
clean	A	10	cat	dog	0.0000	-30.1588	30.1588	0.03137
clean	B	0	cat	cat	0.9997	8.5635	0.0003	0.00000
clean	B	1	cat	dog	0.1871	-1.2301	1.6763	0.00784
clean	B	2	cat	dog	0.0010	-6.9286	6.9551	0.01569
clean	B	3	cat	dog	0.0000	-12.7188	12.7191	0.02353
clean	B	4	cat	dog	0.0000	-17.2490	17.2490	0.03137
clean	B	5	cat	dog	0.0000	-20.1742	20.1742	0.03137
clean	B	6	cat	dog	0.0000	-21.8499	21.8499	0.03137
clean	B	7	cat	dog	0.0000	-24.1445	24.1445	0.03137
clean	B	8	cat	dog	0.0000	-24.8253	24.8253	0.03137
clean	B	9	cat	dog	0.0000	-25.4455	25.4455	0.03137
clean	B	10	cat	dog	0.0000	-24.4663	24.4663	0.03137
clean	C	0	ship	ship	0.9996	8.0281	0.0004	0.00000
clean	C	1	ship	ship	0.8291	1.5910	0.1874	0.00784
clean	C	2	ship	automobile	0.0090	-4.6989	4.7092	0.01569
clean	C	3	ship	automobile	0.0002	-8.5976	8.5978	0.02353
clean	C	4	ship	automobile	0.0000	-14.7452	14.7452	0.03137
clean	C	5	ship	automobile	0.0000	-17.9523	17.9523	0.03137
clean	C	6	ship	automobile	0.0000	-21.7618	21.7618	0.03137
clean	C	7	ship	automobile	0.0000	-22.1882	22.1882	0.03137
clean	C	8	ship	automobile	0.0000	-24.6315	24.6315	0.03137
clean	C	9	ship	automobile	0.0000	-25.1216	25.1216	0.03137
clean	C	10	ship	automobile	0.0000	-26.4031	26.4031	0.03137
clean	D	0	airplane	airplane	0.9994	8.0889	0.0006	0.00000
clean	D	1	airplane	cat	0.0016	-6.3073	6.4497	0.00784
clean	D	2	airplane	cat	0.0000	-14.2018	14.2114	0.01569
clean	D	3	airplane	cat	0.0000	-18.3199	18.3200	0.02353
clean	D	4	airplane	cat	0.0000	-20.6847	20.6849	0.03137
clean	D	5	airplane	cat	0.0000	-21.5307	21.5307	0.03137
clean	D	6	airplane	cat	0.0000	-22.7125	22.7125	0.03137
clean	D	7	airplane	cat	0.0000	-22.5511	22.5511	0.03137
clean	D	8	airplane	cat	0.0000	-23.8216	23.8216	0.03137
clean	D	9	airplane	cat	0.0000	-24.4246	24.4246	0.03137
clean	D	10	airplane	cat	0.0000	-24.3921	24.3921	0.03137
adv	A	0	cat	cat	0.4929	0.0314	0.7074	0.00000
adv	A	1	cat	dog	0.4379	-0.2080	0.8257	0.00784
adv	A	2	cat	dog	0.3824	-0.4517	0.9612	0.01569
adv	A	3	cat	dog	0.3246	-0.7142	1.1253	0.02353
adv	A	4	cat	dog	0.2669	-0.9979	1.3208	0.03137
adv	A	5	cat	dog	0.2591	-1.0394	1.3506	0.03137
adv	A	6	cat	dog	0.2514	-1.0806	1.3806	0.03137
adv	A	7	cat	dog	0.2482	-1.0980	1.3935	0.03137
adv	A	8	cat	dog	0.2453	-1.1138	1.4054	0.03137
adv	A	9	cat	dog	0.2441	-1.1203	1.4102	0.03137
adv	A	10	cat	dog	0.2431	-1.1256	1.4143	0.03137
adv	B	0	cat	cat	0.5428	0.9155	0.6110	0.00000
adv	B	1	cat	cat	0.4586	0.6347	0.7796	0.00784
adv	B	2	cat	cat	0.3909	0.4105	0.9394	0.01569
adv	B	3	cat	cat	0.3415	0.2501	1.0744	0.02353
adv	B	4	cat	cat	0.2974	0.1140	1.2127	0.03137
adv	B	5	cat	cat	0.2909	0.1060	1.2349	0.03137
adv	B	6	cat	cat	0.2839	0.0927	1.2590	0.03137
adv	B	7	cat	cat	0.2801	0.0795	1.2727	0.03137
adv	B	8	cat	cat	0.2760	0.0702	1.2872	0.03137
adv	B	9	cat	cat	0.2736	0.0682	1.2960	0.03137
adv	B	10	cat	cat	0.2713	0.0644	1.3046	0.03137
adv	C	0	ship	ship	0.9779	3.9820	0.0224	0.00000
adv	C	1	ship	ship	0.9653	3.4686	0.0353	0.00784
adv	C	2	ship	ship	0.9475	2.9957	0.0540	0.01569
adv	C	3	ship	ship	0.9241	2.5775	0.0790	0.02353
adv	C	4	ship	ship	0.8903	2.1534	0.1162	0.03137
adv	C	5	ship	ship	0.8867	2.1161	0.1202	0.03137
adv	C	6	ship	ship	0.8830	2.0776	0.1244	0.03137
adv	C	7	ship	ship	0.8812	2.0589	0.1265	0.03137
adv	C	8	ship	ship	0.8794	2.0409	0.1286	0.03137
adv	C	9	ship	ship	0.8784	2.0312	0.1297	0.03137
adv	C	10	ship	ship	0.8774	2.0219	0.1307	0.03137
adv	D	0	airplane	airplane	0.7665	1.8726	0.2660	0.00000
adv	D	1	airplane	airplane	0.5699	0.8573	0.5623	0.00784
