model	image_id	step	true_label	pred	prob_true	margin	loss	linf	attack
clean	cat_0	0	cat	cat	0.9979	6.2783	0.0021	0.00000	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=10_rs=0
clean	cat_0	1	cat	dog	0.0060	-5.1154	5.1217	0.00784	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=10_rs=0
clean	cat_0	2	cat	dog	0.0000	-13.1895	13.1895	0.01569	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=10_rs=0
clean	cat_0	3	cat	dog	0.0000	-18.7804	18.7804	0.02353	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=10_rs=0
clean	cat_0	4	cat	dog	0.0000	-23.1678	23.1678	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=10_rs=0
clean	cat_0	5	cat	dog	0.0000	-25.5149	25.5149	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=10_rs=0
clean	cat_0	6	cat	dog	0.0000	-27.2450	27.2450	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=10_rs=0
clean	cat_0	7	cat	dog	0.0000	-28.0191	28.0191	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=10_rs=0
clean	cat_0	8	cat	dog	0.0000	-29.2041	29.2041	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=10_rs=0
clean	cat_0	9	cat	dog	0.0000	-29.3451	29.3451	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=10_rs=0
clean	cat_0	10	cat	dog	0.0000	-30.1588	30.1588	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=10_rs=0
clean	cat_1	0	cat	cat	0.9997	8.5635	0.0003	0.00000	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=10_rs=0
clean	cat_1	1	cat	dog	0.1871	-1.2301	1.6763	0.00784	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=10_rs=0
clean	cat_1	2	cat	dog	0.0010	-6.9286	6.9551	0.01569	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=10_rs=0
clean	cat_1	3	cat	dog	0.0000	-12.7188	12.7191	0.02353	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=10_rs=0
clean	cat_1	4	cat	dog	0.0000	-17.2490	17.2490	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=10_rs=0
clean	cat_1	5	cat	dog	0.0000	-20.1742	20.1742	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=10_rs=0
clean	cat_1	6	cat	dog	0.0000	-21.8499	21.8499	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=10_rs=0
clean	cat_1	7	cat	dog	0.0000	-24.1445	24.1445	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=10_rs=0
clean	cat_1	8	cat	dog	0.0000	-24.8253	24.8253	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=10_rs=0
clean	cat_1	9	cat	dog	0.0000	-25.4455	25.4455	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=10_rs=0
clean	cat_1	10	cat	dog	0.0000	-24.4663	24.4663	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=10_rs=0
clean	cat_2	0	cat	cat	0.9949	5.4901	0.0051	0.00000	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=10_rs=0
clean	cat_2	1	cat	frog	0.0048	-5.3337	5.3429	0.00784	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=10_rs=0
clean	cat_2	2	cat	frog	0.0000	-10.0803	10.0805	0.01569	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=10_rs=0
clean	cat_2	3	cat	frog	0.0000	-13.3807	13.3809	0.02353	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=10_rs=0
clean	cat_2	4	cat	frog	0.0000	-15.2278	15.2278	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=10_rs=0
clean	cat_2	5	cat	frog	0.0000	-16.9681	16.9681	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=10_rs=0
clean	cat_2	6	cat	frog	0.0000	-17.5339	17.5339	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=10_rs=0
clean	cat_2	7	cat	frog	0.0000	-18.7044	18.7044	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=10_rs=0
clean	cat_2	8	cat	frog	0.0000	-18.1946	18.1946	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=10_rs=0
clean	cat_2	9	cat	frog	0.0000	-20.0895	20.0895	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=10_rs=0
clean	cat_2	10	cat	frog	0.0000	-19.9960	19.9960	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=10_rs=0
clean	cat_3	0	cat	cat	0.9302	2.7470	0.0723	0.00000	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=10_rs=0
clean	cat_3	1	cat	dog	0.0001	-9.1998	9.2011	0.00784	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=10_rs=0
clean	cat_3	2	cat	dog	0.0000	-13.8692	13.8693	0.01569	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=10_rs=0
clean	cat_3	3	cat	dog	0.0000	-17.2398	17.2398	0.02353	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=10_rs=0
clean	cat_3	4	cat	dog	0.0000	-19.4355	19.4355	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=10_rs=0
clean	cat_3	5	cat	dog	0.0000	-21.0339	21.0339	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=10_rs=0
clean	cat_3	6	cat	dog	0.0000	-21.9462	21.9462	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=10_rs=0
clean	cat_3	7	cat	dog	0.0000	-22.9526	22.9526	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=10_rs=0
clean	cat_3	8	cat	dog	0.0000	-23.5562	23.5562	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=10_rs=0
clean	cat_3	9	cat	dog	0.0000	-24.6584	24.6584	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=10_rs=0
clean	cat_3	10	cat	dog	0.0000	-24.7607	24.7607	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=10_rs=0
