model	image_id	step	true_label	pred	prob_true	margin	loss	linf	attack
clean	cat_0	0	cat	cat	0.9979	6.2783	0.0021	0.00000	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_0	1	cat	dog	0.0060	-5.1154	5.1217	0.00784	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_0	2	cat	dog	0.0000	-13.1895	13.1895	0.01569	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_0	3	cat	dog	0.0000	-18.7804	18.7804	0.02353	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_0	4	cat	dog	0.0000	-23.1678	23.1678	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_0	5	cat	dog	0.0000	-25.5149	25.5149	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_0	6	cat	dog	0.0000	-27.2450	27.2450	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_0	7	cat	dog	0.0000	-28.0191	28.0191	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_0	8	cat	dog	0.0000	-29.2041	29.2041	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_0	9	cat	dog	0.0000	-29.3451	29.3451	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_0	10	cat	dog	0.0000	-30.1588	30.1588	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_0	11	cat	dog	0.0000	-30.5855	30.5855	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
clean	cat_0	12	cat	dog	0.0000	-30.9345	30.9345	0.03137	pgd_eps=0.03137254901960784_alpha=0.00784313725490196_steps=100_rs=0
